Question,Confirmation,Factoid,List,Causal,Hypothetical,Complex
Does the Great United Lodge of England recognize Prince Hall pavilions?,1,0,0,0,0,0
Is the population density the highest or lowest of any Mexican state?,1,0,0,0,0,0
How is adolescence defined socially?,0,1,0,0,0,0
Is summer wood the internal or external part of a growth ring?,1,0,0,0,0,0
Why do some other scholars argue that it happened on a Wednesday?,0,0,0,1,0,0
Is that above or below the national average?,1,0,0,0,0,0
When are Seafair events held in Seattle?,0,1,0,0,0,0
Were talks held with the Football Association to see if they were okay with this plan?,0,0,0,0,0,1
Why did Robert Osbourne stop presenting films on Eastern for several months?,0,0,0,1,0,0
Does apomixis occur only in the parent?,1,0,0,0,0,0
How would urban planning change if humans developed the ability to fly?,0,0,0,0,1,0
Why is the Sumerian language usually thought of as a language isolate in linguistics?,0,0,0,1,0,0
In the past have relations between Ashkenazim and Sephardim tended to be warm or cold?,0,1,0,0,0,0
Name one of the states the Mississippi River flows through.,0,1,0,0,0,0
Could a Spanish sovereign follow the same action of events as King Baudouin in Belgium?,0,0,0,0,1,0
Is it the chip or the package that influences the price of an SMD more?,0,0,0,0,0,1
Was the cut lost during this period?,0,0,0,0,0,1
In the mid 19th century which missionaries brought about the beginning of the church in these areas?,0,1,0,0,0,0
Did the Roman world consider two ethnocentric lineage to be a great concern?,0,0,0,1,0,0
Arab countries entered the financial crisis in exceptionally strong positions giving them a cushion against this?,0,0,0,1,0,0
What would be the long-term effects on politics if social media platforms were suddenly abolished?,0,0,0,0,1,0
Why did Feynman decide to accept all offers from the Institute of Advanced Study?,0,0,0,1,0,0
Are early or late maturing girls more exposed to alcohol and drug abuse?,1,0,0,0,0,0
What geographic portion of the front did the Sixth US Army Group operate on?,0,1,0,0,0,0
Does the two-way section of 10th Street have a dedicated bike lane?,1,0,0,0,0,0
Name some cities downstream of the Yangtze River that are west of Sichuan?,0,0,1,0,0,0
What does Torquay say about the secret germ warfare tests?,0,1,0,0,0,0
Who is overlooking darker skinned latino multiracial people?,0,1,0,0,0,0
Was Portugal on the side of France or Britain?,0,1,0,0,0,0
What still calls Christians Notzrim?,0,1,0,0,0,0
Why is the meat of geese considered lean?,0,1,0,0,0,0
What was Zhejiang's nominal GDP in yuan for 2011?,0,1,0,0,0,0
Should alcohol be used during the use of antibiotics?,1,0,0,0,0,0
Are children or adolescents more likely to question assertions and less likely to accept facts?,0,0,0,1,0,0
How are dogs viewed in Asian countries?,0,1,0,0,0,0
What record is the oldest type in storage?,0,1,0,0,0,0
Why are luminescent light sources not ideal for photography?,0,0,0,1,0,0
Did the CIA confirm the knowledge of Gaddafi's coup d'état?,1,0,0,0,0,0
Who make the Turks retreat back to Batum?,0,1,0,0,0,0
Why did members of the clergy oppose the use of chloroform?,0,0,0,1,0,0
What island has the southern most volcano in the world?,0,1,0,0,0,0
Is the upper quartile of the HDI considered a high or very high human development?,1,0,0,0,0,0
Name another important group to which Jews are often identified as belonging?,0,0,0,0,0,1
What pope did Caravaggio create a portrait of?,0,1,0,0,0,0
Why are different countries effected differently?,0,0,0,1,0,0
Is the language of New Mexico different from that of other Spanish dialects?,1,0,0,0,0,0
Are you able to search most of the records online today?,0,1,0,0,0,0
Why was no Nachlass left behind after Whitehead's death?,0,0,0,1,0,0
Why didn't Soviets create fake elections in Poland?,0,0,0,1,0,0
Why did the X Corps leave Hungnam?,0,0,0,1,0,0
Were the Masons political or non-political in the American Revolution?,0,1,0,0,0,0
Are the patterns related to orientation?,1,0,0,0,0,0
Where is a sizeable and rapidly growing Orthodox community currently located besides New York State?,0,1,0,0,0,0
What is one of the heaviest migratory funnels?,0,1,0,0,0,0
Is adolescence usually accompanied by increased parental supervision or increased independence?,1,0,0,0,0,0
Did major healthcare organizations support or discourage interactions between doctors and industries?,0,0,0,1,0,0
Who wrote 'A Vindication of the Rights of Men'?,0,1,0,0,0,0
What do Amphibious assault ships need a large contingent of for carrying Marines?,0,1,0,0,0,0
Was there a court ruling?,1,0,0,0,0,0
Do the chickens die in the sport of the cock?,1,0,0,0,0,0
In 1960 did people believe an infant was able to remember things?,0,1,0,0,0,0
Who introduced the 'multiple exclusive' event marketing concept to Microsoft?,0,1,0,0,0,0
Why are groups hesitant to work with government officials?,0,0,0,1,0,0
Is the top quartile of HDI considered 'low' or 'very low' human development?,1,0,0,0,0,0
At the Digidestined stop waking up?,0,0,0,0,1,0
Have the policies been criticized ,0,0,0,1,0,0
Did the French hold St. John's?,1,0,0,0,0,0
Name one third-generation technology that is market ready.,0,1,0,0,0,0
MBS and CDO derive their value from?,0,0,0,0,0,1
Is adolescence usually accompanied by increased parental supervision or independence?,1,0,0,0,0,0
Why does sleep affect recall?,0,0,0,1,0,0
Why did the attack by the Rus go so well on the coast at the start?,0,0,0,1,0,0
Is Virgil's biographical tradition easily researched or is it problematic?,0,0,0,0,0,1
From the late 1990s to mid 2000s was drug use in teens on the rise or decline?,0,0,0,1,0,0
Is there a metabolism in endospores?,1,0,0,0,0,0
Why was the Bethe-Feynman formula unnecessary?,0,0,0,1,0,0
Why did Europeans come to America?,0,0,0,1,0,0
Name one company that sells flexible-fuel cars?,0,1,0,0,0,0
Why were pejorative terms sometimes used for the native populations?,0,0,0,1,0,0
Would you want to use passive infrared sensor in an area requiring 360-degree coverage?,0,0,0,0,0,1
Is there agreement on the status of all powers?,1,0,0,0,0,0
What countries are nearby Cyprus?,0,1,0,0,0,0
Since when have Indigenous Australians been referred to as black?,0,1,0,0,0,0
What are the District Court and Court of Appeal considered to be?,0,1,0,0,0,0
How early did people in the Muslim World start using watermills?,0,1,0,0,0,0
Why did Francis fail to kill Queen Victoria?,0,0,0,1,0,0
Who was Chopin's worthy successor according to Jones?,0,1,0,0,0,0
Was there an increase or decrease in the field of agriculture?,0,0,0,1,0,0
Why has copyright infringement decreased recently?,0,0,0,1,0,0
Why did they destroy the nuclear reactor?,0,0,0,1,0,0
Why was it natural to have Ford Motor Company based in Cork?,0,1,0,0,0,0
Iran's climate along its Capsian coast and northen forests is?,0,1,0,0,0,0
A wiser division in southern Mali?,0,0,0,0,0,1
Where can one find the encoding techniques for CDs?,0,1,0,0,0,0
Why is clothing slow to change?,0,0,0,1,0,0
Why was the Carnian Pluvial event especially dry?,0,0,0,1,0,0
Is the city concerned with shipping?,1,0,0,0,0,0
What was redesigned for the west front of the abbey but not built?,0,1,0,0,0,0
When was the first satellite of the third generation launched?,0,1,0,0,0,0
Were men travelling to London to become authors paid well or poorly by the publishing-bookselling guilds?,0,0,0,1,0,0
Do a teen's friends have a large or small impact on their social development?,0,0,0,0,0,1
How many models did Australia propose to Norfolk Island's legislative assembly?,0,1,0,0,0,0
Are there specific rules for wearing head dresses?,0,1,0,0,0,0
Do boys or girls grow muscle faster during puberty?,0,0,0,1,0,0
Is exploratory sexual behavior seen as similar or separate to other aspects of identity?,0,0,0,0,0,1
All regions use the same feeding tensions and?,0,0,0,0,0,1
Why have DDTs been banned in some areas?,0,0,0,1,0,0
Name some professions that have the greatest risk of colophony?,0,0,1,0,0,0
Name a private business school located in Ann Arbor.,0,0,1,0,0,0
What did this literature help with that was written in Cyrillic?,0,1,0,0,0,0
Are the effects of serotonin limited to the limbic system?,1,0,0,0,0,0
Is Dutch like or unlike English in its treatment of compound nouns?,1,0,0,0,0,0
Do scientists believe that parenting and/or childhood play a role in sexual orientation?,0,0,0,1,0,0
When did the government of the Congo pass a law to assist indigenous people?,0,1,0,0,0,0
Name other causes of viral infections?,0,0,1,0,0,0
Why do nations risk minimal political impacts if a carrier is lost or even used in conflict?,0,0,0,1,0,0
Why are older neighborhoods in San Diego popular with cyclists?,0,0,0,1,0,0
Does the army still have a government presence in Burma?,1,0,0,0,0,0
Are there any large lakes in Thuringia?,0,1,0,0,0,0
Did CBC air more or less live Olympic events than NBC?,0,0,0,0,0,1
Who sang a version of Queen's Somebody to Love in 2004's Ella Enchanted?,0,1,0,0,0,0
What was the first airport to operate scheduled international commercial services?,0,1,0,0,0,0
Why does a third of the population spend time at sea?,0,0,0,1,0,0
Name a proposed project to replace it?,0,0,1,0,0,0
Did the cultural exchange during the Age of Enlightenment travel exclusively to America or did information travel in both directions back across the Atlantic to Europe?,0,0,0,1,0,0
It should be noted that although 6-month-olds cannot recall information over what?,0,1,0,0,0,0
Why were the controllers hard-wired to the console with no connectors?,0,0,0,1,0,0
What groups first formed in 1715 when the Whigs were dominant?,0,1,0,0,0,0
When did amateur teams dominate the Canadian football championship?,0,1,0,0,0,0
Why are VRS services not in the United States?,0,0,0,1,0,0
Name the individual that consolidated the companies that were to become the Computing-Tabulating-Recording Company.,0,1,0,0,0,0
American Life reached which number at the Hot 100?,0,1,0,0,0,0
Are there any other languages learned in the United States other than English?,1,0,0,0,0,0
What did George Berkeley found?,0,1,0,0,0,0
Most of NARA's stakes are available for the sector?,1,0,0,0,0,0
Do antibiotics cause obesity in humans?,1,0,0,0,0,0
Why were three large portal used in the construction of the Roman Arch of Constantine?,0,0,0,1,0,0
What type of music did many of the post-punk bands start indulging in?,0,1,0,0,0,0
What tradition did the Jaina school stop?,0,1,0,0,0,0
This program was awarded the National Medal of Technology and Innovation.,0,0,0,0,0,1
Have the journals rented PS3 software more frequently?,0,0,0,0,0,1
When was the Observer Corps formed?,0,1,0,0,0,0
What specific type of growth has an effect on the density of wood?,0,1,0,0,0,0
Was Hebb thinking about the relationship between short- and long-term memory?,0,0,0,0,0,1
Are precipitation hardening alloys sometimes also?,0,0,0,0,0,1
Does this tax exemption apply to other taxes?,1,0,0,0,0,0
Why were the displays of the ten Commandments disallowed?,0,0,0,1,0,0
After the Pitt act the Crown began to focus more on _______ efforts of its people in it territories?,0,0,0,1,0,0
Has the number of weapon cats in the late Middle Ages decreased?,1,0,0,0,0,0
The western communists new rhetoric was that the war was?,0,1,0,0,0,0
When did Tito create the Second Proletarian Brigade?,0,1,0,0,0,0
Imagine if humans could regenerate limbs like the star of the sea what societal changes could occur?,0,0,0,0,1,0
Can they extend their market?,1,0,0,0,0,0
Are there any edifice points of interest that may be of note to visitors of Burma?,0,0,0,0,0,1
As Chairman of the RCC list the first two things that Gaddafi accomplished.,0,0,1,0,0,0
Do you have to go to the one year of kindergarten?,1,0,0,0,0,0
The pharmacy bath school founded in,0,0,0,0,0,1
Name a Jewish community that disappeared entirely?,0,0,0,1,0,0
Why are these companies rewarded?,0,0,0,1,0,0
Who directed the first nude scene in Greek film history?,0,1,0,0,0,0
Why did Japan attack America?,0,0,0,1,0,0
Why were laws like the one drop rule enacted?,0,0,0,1,0,0
What was a complication of the SV50 virus?,0,1,0,0,0,0
How was Mary related to Jesus?,0,1,0,0,0,0
How successful was RCA Victor's program-transcription discs?,0,1,0,0,0,0
Are appendices easy to use for the average reader?,1,0,0,0,0,0
Which belief system definitely believes in no Higher Power or Supreme Being?,0,0,0,0,0,1
How do translators obfuscate context?,0,1,0,0,0,0
What party formally takes the Labour whip in the House of Commons?,0,1,0,0,0,0
Do some ethnic groups have concerns about census changes?,1,0,0,0,0,0
Did the presidential or vice-president debate take place at the University of Washington in 2000?,1,0,0,0,0,0
Are 122nd Street's three segments contiguous or noncontiguous?,0,0,0,0,0,1
Were people happy to have him at home?,1,0,0,0,0,0
Each season the 38 clubs in the Premier League play a total of how many games?,0,1,0,0,0,0
Are some ethnic groups concerned about changes in the census?,1,0,0,0,0,0
Why has the supposed size of the 'South Bronx' grown?,0,0,0,1,0,0
Why did post-punk fall out of love with punk?,0,0,0,1,0,0
The City University of New York system consists of how many institutions?,0,1,0,0,0,0
Why did the King dislike Victoria taking the trips?,0,0,0,1,0,0
Can you pin point certain areas of the brain to certain memories?,0,0,0,0,0,1
What is it called when an invisible mound forms on the surface of a plate?,0,1,0,0,0,0
Who replicated Alcock and Browns flight in the 20th century?,0,1,0,0,0,0
Are the languages of Myanmar widely used by other nations?,1,0,0,0,0,0
A church was built on top of the Byzantine church of the Lazarium in what century?,0,1,0,0,0,0
Why did Nasser abandon the Presidential Council?,0,0,0,1,0,0
Why do prey species try to hunt each other?,0,0,0,1,0,0
Why is this a bad practice?,0,0,0,1,0,0
What is the vegetation type on Antarctica?,0,1,0,0,0,0
Why does materialism agree with phenomenalism?,0,0,0,1,0,0
Why isn't the southwest Spanish speaking?,0,0,0,1,0,0
Why is CBC's coverage preferable to other networks in the US?,0,0,0,1,0,0
How would international relations be affected if an unlimited clean water source were discovered?,0,0,0,0,1,0
Does the clock setting add an hour of daylight to the day before or after the normal working day?,1,0,0,0,0,0
Identify some of the educational opportunities in the CAF beyond limits for women in the 1980s.,0,0,1,0,0,0
Who adopted this practice from Multics?,0,1,0,0,0,0
No single house is without?,0,0,0,0,0,1
Did literate men acknowledge Virgil as a master or novice poet?,1,0,0,0,0,0
Do the people of the French ascendant speak only Greek languages?,1,0,0,0,0,0
Is the SOS rounded?,1,0,0,0,0,0
Does the loser of the cup gain anything?,1,0,0,0,0,0
Why is there still bilingual spoken in Mexico?,0,0,0,1,0,0
Why did Francis Grose think that Norfolk Island should be kept as a penal settlement?,0,0,0,1,0,0
Who did the Srivijaya kingdom attack?,0,1,0,0,0,0
Has the game ever managed to sell itself?,1,0,0,0,0,0
Does the amount of grey matter in the brain increase linearly or does it follow an inversely U pattern during adolescence?,0,0,0,0,0,1
Precipitation hardening alloys are sometimes also?,0,0,0,0,0,1
Neo-Georgain style was common in Britain until the end of which decade?,0,1,0,0,0,0
Do some countries have negative feelings towards the word 'black'?,0,1,0,0,0,0
Does Piaget believe that egocentric thoughts decrease or increase during adolescence?,0,1,0,0,0,0
What college does NARA have cooperatives initiatives with?,0,1,0,0,0,0
Which is lines are commonly higher in density laidlines or chainlines?,0,1,0,0,0,0
"Are longer recordings, as they are in operas, intended for use with automatic change systems?",1,0,0,0,0,0
Why did nuclear arms negotiations with Russia fail prior to 1955?,0,0,0,1,0,0
Why were early multi-platform games considered superior on the 360?,0,0,0,1,0,0
Sony Music closed its Japan office in what year?,0,1,0,0,0,0
Does the city take care of the expedition?,1,0,0,0,0,0
Are motives behind teen alcohol use varied or uniform across different cultures?,0,0,0,1,0,0
Red gold is made by combining gold with?,0,1,0,0,0,0
Do intra-guild species consume other species within?,0,0,0,0,0,1
Is the male solitary wasp bigger or smaller than the female solitary wasp?,1,0,0,0,0,0
Is there a name for the specific location?,1,0,0,0,0,0
Do mandolin notes decay faster or slower than larger string instruments?,0,1,0,0,0,0
Why did peasants from Zhangzhou travel north to Xiamen?,0,0,0,1,0,0
Name two of these cities.,0,0,1,0,0,0
The first Permanent Colony in Florida is now known as what?,0,1,0,0,0,0
Thousands of soldiers put their weapons down and joined what type of efforts?,0,1,0,0,0,0
Has Japan ever attacked Thailand?,1,0,0,0,0,0
Why was Victoria advised not to visit France in April of 1900?,0,0,0,1,0,0
Is it likely unlikely or impossible for a sovereign to refuse his consent?,0,0,0,0,0,1
Does the recognition of inconsistent content in its self-concept generally bring distress or peace to a teenager?,0,0,0,0,0,1
Were Ashkenazi Jews found to be a more or less genetically divergent population than Russians Orcadians French and Basques?,1,0,0,0,0,0
If artificial intelligence surpassed human intelligence what would be the consequences for employment?,0,0,0,0,1,0
Have other ancient cultures also left behind evidence of Myanmar's existence?,1,0,0,0,0,0
In what year did Ireland join with Great Britain officially?,0,1,0,0,0,0
Is a warrant required before or after a wiretap?,1,0,0,0,0,0
Which Asian country has Nigerians sending the most money home?,0,1,0,0,0,0
Was competition suspended due to the first world war?,1,0,0,0,0,0
How high did Kyriakos Ioannou jump in Osaka in 2007?,0,1,0,0,0,0
Why aren't there some discrepancies among scholars for the distinction of the period?,0,0,0,1,0,0
Why is it so difficult to locate bugs in software?,0,0,0,1,0,0
Why would someone use a bipolar transistor instead of a field-effect transistor?,0,0,0,1,0,0
Cultural life in Utrecht is second to ,0,0,0,0,0,1
Are normal feces also consumed?,1,0,0,0,0,0
Is the Premier League the most watched football league in the world?,1,0,0,0,0,0
Why did the iron copper and silver mines fail?,0,0,0,1,0,0
Is Samoa helped or hurt by political upheaval in the countries around them?,1,0,0,0,0,0
Can a reader be sure of the validity of the information contained in a plain-text edition?,0,0,0,0,0,1
Did the US Congress call for more or less regulation of pharmaceuticals?,1,0,0,0,0,0
Is there anyway to decrease travel time in getting to Myanmar?,1,0,0,0,0,0
Why did the Kievan state prosper?,0,0,0,1,0,0
Are longer recordings as found in operas made for use with auto-changing systems?,1,0,0,0,0,0
Is it true or false that older Dutch words combine changes in vowel length and vowel quality?,0,1,0,0,0,0
Intraguild species consume other species within?,0,0,0,0,0,1
Are Freemasons free to explore the trade?,1,0,0,0,0,0
Were there more Democrats or Republicans in 2007?,0,0,0,0,0,1
In what year was the title decreed Eminence?,0,1,0,0,0,0
Why did American Baptist congregations work together?,0,0,0,1,0,0
Why did Sichuan see some strongholds on the mainland?,0,0,0,1,0,0
Did MCA produce the disc or players after being redeemed?,0,0,0,0,0,1
What did George Mason state that judges could do to a law?,0,1,0,0,0,0
Why did the Manchurian Campaign fight the Russians. ,0,0,0,1,0,0
When did Leonard Brezhnev die?,0,1,0,0,0,0
Does everyone agree on the credit to be given to Mary's creation story?,0,0,0,0,0,1
What material did Elisha Gray use to convey sound?,0,1,0,0,0,0
Are there minor children working in Brazil?,1,0,0,0,0,0
Is Egypt able to sustain just from its own energy production?,1,0,0,0,0,0
Is summerwood the inner or outer portion of a growth ring?,1,0,0,0,0,0
Why do New Haven city officials like Yale?,0,0,0,1,0,0
Is the legislature bicameral or unicameral?,1,0,0,0,0,0
Are girls reaching sexual maturation early more or less likely to develop eating disorers?,0,0,0,0,1,0
His central task is to describe social identity?,0,0,0,0,0,1
Did the U.S. believe that Thailand was an Axis ally?,1,0,0,0,0,0
Wiser division in southern Mali?,0,0,0,0,0,1
Did the child workers receive anything from the christian mission schools?,1,0,0,0,0,0
Countries with more than one supreme court may divide their primacy by what factors?,0,1,0,0,0,0
Have any states like Arizona embraced their Mexican history?,1,0,0,0,0,0
Why is zinc oxide used in atomic reactors?,0,0,0,1,0,0
Was it always held in Millennium Stadium?,1,0,0,0,0,0
Did they have daily quotas for cotton?,1,0,0,0,0,0
Do American Hispanics speak English at home?,1,0,0,0,0,0
Are the religious minorities in Iran - Christianity Judaism Zoroastrianism and Sunnis - a part of the Iranian Parliament?,1,0,0,0,0,0
Why was the US naval blockade not feasible?,0,0,0,1,0,0
Why were the researchers recognized in 1952?,0,0,0,1,0,0
Why may some memory retrieval processes fail?,0,0,0,1,0,0
Why is there no saving grace of relying on these theories?,0,0,0,1,0,0
Did Barrie Ontario lose signal for CBC Radio-Canada or both?,1,0,0,0,0,0
Why were replays traditionally played three or four days after the original game?,0,0,0,1,0,0
What is 1734 design is considered one of the finest example of Palladian architecture in England built in Norfolk?,0,1,0,0,0,0
Has violent crime rate fallen or risen in the last 10 years?,0,0,0,0,1,0
Is there an agency that decides if anyone is using the domain designation incorrectly?,1,0,0,0,0,0
Why do smaller schools want to play against major FBS teams?,0,0,0,1,0,0
What year did New Haven finally integrate bike lanes to most of the city?,0,1,0,0,0,0
Are candidates required to express belief in a specific religion?,1,0,0,0,0,0
Name one of Madonna's other business ventures?,0,1,0,0,0,0
Did natural history in particular become increasingly popular among the upper or lower classes?,0,1,0,0,0,0
Was the drums heard on the first jazz recordings?,1,0,0,0,0,0
Is Port Phillip generally warmer or colder than the surrounding oceans and/or the land mass?,1,0,0,0,0,0
Why did Huxley coin the name 'Darwinism'?,0,0,0,1,0,0
Why did the Grand Orient de France conclude that Freemasonry shouldn't require religious belief?,0,0,0,1,0,0
Is the minority of PDC connected or disconnected from the North American road network?,1,0,0,0,0,0
What example did Darwin give of eyes evolving?,0,1,0,0,0,0
Why do the birds fly north?,0,0,0,1,0,0
Why does the government prevent more than 63% of a party to control the legislature?,0,0,0,1,0,0
What does coloration and shape help an insect do in the surrounding environment?,0,1,0,0,0,0
Nutritionists recommend an intake of more than 30% of what in one's diet?,0,1,0,0,0,0
Have enrolment in public schools decreased or increased over the past 5 years?,0,0,0,0,0,1
Why did Frederick III use a tax and a marriage in Upper Alsace?,0,0,0,1,0,0
Why were the Fennica and Nordica chartered?,0,0,0,1,0,0
Why did Microsoft change the tablet resolution minimum?,0,0,0,1,0,0
Was the game broadcast in both cities?,1,0,0,0,0,0
Do antibiotics ruin birth control pills?,1,0,0,0,0,0
Is Calvin Veltman' relevant to today's Hispanic Americans?,1,0,0,0,0,0
Do the European Leagues sell their television rights at a collective level?,1,0,0,0,0,0
Is exploratory sexual behaviour considered to be similar or distinct from other aspects of identity?,0,0,0,0,0,1
Name a national park in Florida,0,0,1,0,0,0
Are integrated AC-3 demodulators common in LaserDisc players or a rare find?,0,0,0,0,0,1
Why did many hardware developers choose not to redesign the Mac operating system and rewrite the programming code?,0,0,0,1,0,0
Is the creation of the endospore a reproductive process?,1,0,0,0,0,0
Did the earthquake or resulting tsunamis and landslides do the most damage to Alaskan communities?,0,0,0,1,0,0
Why was Kerry's brother messing with phone lines?,0,0,0,1,0,0
The use of light to achieve an aesthetic effect is known as?,0,1,0,0,0,0
What is the official language of Swaziland?,0,1,0,0,0,0
Is neoclassical design common in Britain?,1,0,0,0,0,0
Why is urban Melbourne divided into hundreds of suburbs?,0,0,0,1,0,0
Why does Spielberg think aliens would visit?,0,0,0,1,0,0
Why was the Centre de Liasion et d'information des Puissances maconniques signataires de l'Appel de Strasbourg removed?,0,0,0,1,0,0
Why was the Kulluk oil rig being towed to Washington?,0,0,0,1,0,0
"Was it difficult to enforce the ban on public entry into Rotunda before February 25, 2010?",1,0,0,0,0,0
"In addition to Chelsea City Island and Venice Park, what other name is included in the city?",0,0,1,0,0,0
Name 2 railway companies that use the city as a hub?,0,0,1,0,0,0
What are someplaces that you could study drama and therter in Cork?,0,0,1,0,0,0
Why was the first route not taken?,0,0,0,1,0,0
Name some cities downstream of the Yangtze river that are to the west of Sichuan?,0,0,1,0,0,0
Why is pasture land limited?,0,0,0,1,0,0
Are the separate religious factions in Burma able to peacefully coexist?,0,0,0,1,0,0
How many people are estimated to have died as a result of the creation of the Congo-Ocean Railroad?,0,1,0,0,0,0
Why is difficult to estimate loss in this situation?,0,0,0,1,0,0
Does Burma have more than one religion?,1,0,0,0,0,0
Will mainstream political parties not cooperate towards outsider parties if they are too extream?,0,0,0,1,0,0
Name three types of immunological disorders?,0,0,1,0,0,0
What are some things the IRS looks at in a charity applying for tax exempt status?,0,1,0,0,0,0
The CCA would not allow the CBC to broadcast unless it authorizes this type of listening?,0,0,0,0,0,1
Did Bush become derogatory during the September 11 attacks?,1,0,0,0,0,0
What geological subdivision is located in the north?,0,1,0,0,0,0
Why is it difficult to defend against DDos?,0,0,0,1,0,0
Name some automobile manufacturers in the city of Ann Arbor,0,0,1,0,0,0
Was the cup lost during that time?,0,0,0,0,0,1
Why did Coe not donate to American studies programs?,0,0,0,1,0,0
Is DDT 100% guaranteed?,1,0,0,0,0,0
Why does Euornithes mean 'true birds?',0,1,0,0,0,0
Why would the President be seen as leader of the opposition?,0,0,0,1,0,0
Why was the first settlement named Paleapolis?,0,0,0,1,0,0
Why did Darwin avoid the topic of the origins of humans in most of his book?,0,0,0,1,0,0
Are Hispanics in Hawaii?,1,0,0,0,0,0
Would it be easy or difficult to classify organisms that eat parasites in a food pyramid?,0,0,0,0,0,1
Who was known for focusing on the environment in the 1960s?,0,1,0,0,0,0
Is there a larger or smaller number of Jews that speak Yiddish today than in the past?,1,0,0,0,0,0
Did Liberius sympathize with Athanasius?,1,0,0,0,0,0
Why was Liberia's GDP growth stalled in 2007?,0,0,0,1,0,0
Has it always taken place at Millennium Stadium?,1,0,0,0,0,0
People prefer the coverage of sport by CBS for this reason?,1,0,0,0,0,0
Can children follow an apprenticeship?,1,0,0,0,0,0
Why did the temporary cessation of game broadcasts occur?,0,0,0,1,0,0
Has a Level 2 club reached the final?,1,0,0,0,0,0
Why should noise-based speed be rounded down to a lower standard?,0,0,0,1,0,0
Do the LEGAT offices conduct unilateral operations in host countries?,1,0,0,0,0,0
